Welcome to CSOPESY Emulator!

root:\> screen -ls
CPU utilization:  81%
Cores used: 13
Cores available: 3

--------------------------------------------------------

Running processes   
Name           Created                   Core            Used / Total   
p488           11/04/2025 02:07:51PM     -             0 / 500000  
p489           11/04/2025 02:07:52PM     -             0 / 500000  
p490           11/04/2025 02:07:52PM     -             0 / 500000  
p491           11/04/2025 02:07:52PM     -             0 / 500000  
p492           11/04/2025 02:07:52PM     -             0 / 500000  
p493           11/04/2025 02:07:52PM     -             0 / 500000  
p494           11/04/2025 02:07:52PM     -             0 / 500000  
p495           11/04/2025 02:07:52PM     -             0 / 500000  
p496           11/04/2025 02:07:52PM     -             0 / 500000  
p497           11/04/2025 02:07:52PM     -             0 / 500000  
p498           11/04/2025 02:07:52PM     -             0 / 500000  
p499           11/04/2025 02:07:52PM     -             0 / 500000  
p500           11/04/2025 02:07:52PM     -             0 / 500000  
p501           11/04/2025 02:07:52PM     -             0 / 500000  
p502           11/04/2025 02:07:52PM     -             0 / 500000  
p503           11/04/2025 02:07:52PM     -             0 / 500000  
p504           11/04/2025 02:07:53PM     -             0 / 500000  
p505           11/04/2025 02:07:53PM     -             0 / 500000  
p506           11/04/2025 02:07:53PM     -             0 / 500000  
p507           11/04/2025 02:07:53PM     -             0 / 500000  
p508           11/04/2025 02:07:53PM     -             0 / 500000  
p509           11/04/2025 02:07:53PM     -             0 / 500000  
p510           11/04/2025 02:07:53PM     -             0 / 500000  
p511           11/04/2025 02:07:53PM     -             0 / 500000  
p512           11/04/2025 02:07:53PM     -             0 / 500000  
p513           11/04/2025 02:07:53PM     -             0 / 500000  
p514           11/04/2025 02:07:53PM     -             0 / 500000  
p515           11/04/2025 02:07:53PM     -             0 / 500000  
p516           11/04/2025 02:07:53PM     -             0 / 500000  
p517           11/04/2025 02:07:54PM     -             0 / 500000  
p518           11/04/2025 02:07:54PM     -             0 / 500000  
p519           11/04/2025 02:07:54PM     -             0 / 500000  
p520           11/04/2025 02:07:54PM     -             0 / 500000  
p521           11/04/2025 02:07:54PM     -             0 / 500000  
p522           11/04/2025 02:07:54PM     -             0 / 500000  
p523           11/04/2025 02:07:54PM     -             0 / 500000  
p524           11/04/2025 02:07:54PM     -             0 / 500000  
p525           11/04/2025 02:07:54PM     -             0 / 500000  
p526           11/04/2025 02:07:54PM     -             0 / 500000  
p527           11/04/2025 02:07:54PM     -             0 / 500000  
p528           11/04/2025 02:07:54PM     -             0 / 500000  
p529           11/04/2025 02:07:54PM     -             0 / 500000  
p530           11/04/2025 02:07:54PM     -             0 / 500000  
p531           11/04/2025 02:07:55PM     -             0 / 500000  
p532           11/04/2025 02:07:55PM     -             0 / 500000  
p533           11/04/2025 02:07:55PM     -             0 / 500000  
p534           11/04/2025 02:07:55PM     -             0 / 500000  
p535           11/04/2025 02:07:55PM     -             0 / 500000  
p536           11/04/2025 02:07:55PM     -             0 / 500000  
p537           11/04/2025 02:07:55PM     -             0 / 500000  
p538           11/04/2025 02:07:55PM     -             0 / 500000  
p539           11/04/2025 02:07:55PM     -             0 / 500000  
p540           11/04/2025 02:07:55PM     -             0 / 500000  
p541           11/04/2025 02:07:55PM     -             0 / 500000  
p542           11/04/2025 02:07:55PM     -             0 / 500000  
p543           11/04/2025 02:07:55PM     -             0 / 500000  
p544           11/04/2025 02:07:55PM     -             0 / 500000  
p545           11/04/2025 02:07:56PM     -             0 / 500000  
p546           11/04/2025 02:07:56PM     -             0 / 500000  
p547           11/04/2025 02:07:56PM     -             0 / 500000  
p548           11/04/2025 02:07:56PM     -             0 / 500000  
p549           11/04/2025 02:07:56PM     -             0 / 500000  
p550           11/04/2025 02:07:56PM     -             0 / 500000  
p551           11/04/2025 02:07:56PM     -             0 / 500000  
p552           11/04/2025 02:07:56PM     -             0 / 500000  
p553           11/04/2025 02:07:56PM     -             0 / 500000  
p554           11/04/2025 02:07:56PM     -             0 / 500000  
p555           11/04/2025 02:07:56PM     -             0 / 500000  
p556           11/04/2025 02:07:56PM     -             0 / 500000  
p557           11/04/2025 02:07:56PM     -             0 / 500000  
p558           11/04/2025 02:07:56PM     -             0 / 500000  
p559           11/04/2025 02:07:56PM     -             0 / 500000  
p560           11/04/2025 02:07:56PM     -             0 / 500000  
p561           11/04/2025 02:07:57PM     -             0 / 500000  
p562           11/04/2025 02:07:57PM     -             0 / 500000  
p563           11/04/2025 02:07:57PM     -             0 / 500000  
p564           11/04/2025 02:07:57PM     -             0 / 500000  
p565           11/04/2025 02:07:57PM     -             0 / 500000  
p566           11/04/2025 02:07:57PM     -             0 / 500000  
p567           11/04/2025 02:07:57PM     -             0 / 500000  
p568           11/04/2025 02:07:57PM     -             0 / 500000  
p569           11/04/2025 02:07:57PM     -             0 / 500000  
p570           11/04/2025 02:07:57PM     -             0 / 500000  
p571           11/04/2025 02:07:57PM     -             0 / 500000  
p572           11/04/2025 02:07:57PM     -             0 / 500000  
p573           11/04/2025 02:07:57PM     -             0 / 500000  
p574           11/04/2025 02:07:57PM     -             0 / 500000  
p575           11/04/2025 02:07:58PM     -             0 / 500000  
p576           11/04/2025 02:07:58PM     -             0 / 500000  
p577           11/04/2025 02:07:58PM     -             0 / 500000  
p578           11/04/2025 02:07:58PM     -             0 / 500000  
p579           11/04/2025 02:07:58PM     -             0 / 500000  
p580           11/04/2025 02:07:58PM     -             0 / 500000  
p581           11/04/2025 02:07:58PM     -             0 / 500000  
p582           11/04/2025 02:07:58PM     -             0 / 500000  
p583           11/04/2025 02:07:58PM     -             0 / 500000  
p584           11/04/2025 02:07:58PM     -             0 / 500000  
p585           11/04/2025 02:07:58PM     -             0 / 500000  
p586           11/04/2025 02:07:58PM     -             0 / 500000  
p587           11/04/2025 02:07:58PM     -             0 / 500000  
p588           11/04/2025 02:07:59PM     -             0 / 500000  

Finished processes:
Name           Created                   Status              Used / Total   
--------------------------------------------------------

